homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
-6.132630118,-3.93258954,1.519100066,5.6872554,7.050289269,14.8603861,1.164317017,0.61211578,13.91061951,27.39704294,-103.2873539,129.9414262,2.200040578
-6.270591847,-4.066197447,1.512100066,4.334516298,7.564264446,23.55149743,0.929859134,0.699643381,15.48315707,21.46520036,-105.8111951,129.931386,2.2043944
-5.598470606,-3.393531979,1.677800073,19.51507013,18.39685636,27.73013822,1.307604361,0.54999077,12.73906021,30.7410384,-90.98692247,117.8719181,2.204938627
-6.07358141,-3.868098555,1.479700065,14.0691621,15.41139264,24.02543722,1.161916054,0.671120133,14.90647629,27.09270107,-102.1835656,127.0567673,2.205482855
-5.970994484,-3.757348213,1.660200073,12.78305989,9.37717185,30.64391585,1.126916861,0.823501447,18.72549607,26.35600551,-99.6063861,127.2362349,2.213646271
-5.815617468,-3.592175098,1.503200066,8.151835168,8.768160435,17.20433739,1.110386265,0.545346929,12.71835241,25.92365181,-95.64805932,120.7364967,2.22344237
-6.257530381,-4.026196709,1.495800065,12.55690926,13.12081877,23.23340344,1.053477401,0.652782108,15.16501,24.59458775,-105.7164412,131.0609022,2.231333672
-6.120657108,-3.888507095,1.548100068,8.198308538,8.607723279,15.26466119,1.191620563,0.632614933,14.6140571,28.07538017,-102.8826106,129.4588718,2.232150013
-6.18841346,-3.953542308,1.544500068,10.93016577,12.17499455,21.59159378,1.215115357,0.726657212,14.14781791,27.12721407,-103.5421225,130.2256878,2.234871152
-6.03766238,-3.802247,1.543000067,9.839814489,10.68873575,16.97511741,1.162114359,0.5630395,12.87460215,27.38825781,-100.6944867,126.2171603,2.23541538
-5.722826641,-3.483601667,1.721000075,15.69794406,14.87335281,26.63367922,1.305454628,0.542590144,10.27796991,28.6633561,-97.25385486,118.0833886,2.239224974
-5.973987736,-3.734490648,1.59940007,5.315089283,4.875402897,19.38985768,1.197552877,0.625563647,14.35991596,27.8124539,-98.03133851,123.7303421,2.239497088
-5.937252365,-3.693673569,1.714900075,9.189327459,8.824505313,20.52921672,1.411583603,0.663356453,15.81008925,33.27240971,-96.9990862,127.0178617,2.243578796
-6.344606817,-4.101028021,1.625800071,11.48089632,10.7102887,23.44190283,1.260777985,0.633770329,13.52532899,28.34144398,-107.7464328,134.3841899,2.243578796
-5.453978145,-3.210399349,1.523100067,7.883634262,9.174698535,13.1780934,1.200313184,0.540303299,12.25274073,27.854497,-87.24132125,112.6366105,2.243578796
-6.194127851,-3.950004827,1.633700071,16.88126051,16.28167957,30.09463731,1.247893614,0.656114414,14.42454938,28.83152851,-103.990164,129.2404986,2.244123024
-6.48501757,-4.239806091,1.512700066,14.12429737,14.61482614,2.322519686,1.16710352,0.689091512,15.88225279,27.2897389,-110.5062174,140.1899032,2.245211479
-6.213447935,-3.966059545,1.510800066,12.5572,13.6957,19.4835,1.185565745,0.576436482,12.73968772,27.68757961,-102.7759341,130.1403465,2.24738839
-5.907864068,-3.65993145,1.516100066,4.077000325,3.360600001,3.0988,1.140340963,0.502571991,12.22513034,27.58780568,-97.29527045,125.0437184,2.247932618
-6.342429906,-4.092320378,1.533500067,11.62227342,12.39113771,19.63820392,1.151701889,0.608936129,14.3210104,27.14917689,-105.8212352,132.5022904,2.250109528
-5.986777088,-3.731225282,1.540100067,7.317003247,8.161976718,15.68972178,1.148687053,0.571571086,12.72148996,26.85173762,-99.16524727,124.9257467,2.255551806
-5.778882097,-3.521425494,1.450800063,4.532200287,1.893700003,5.282400001,0.864108811,0.32198934,8.970241155,22.24770409,-92.7106897,112.8367859,2.257456603
-6.209910455,-3.950276941,1.670500073,13.04990791,12.2441955,24.99368874,1.33170297,0.64809413,15.15685239,31.27316603,-102.631607,131.4054047,2.259633514
-6.124194589,-3.861295708,1.60170007,12.29486487,11.51340036,21.41315281,1.25531822,0.606368735,13.83782847,29.1026124,-101.2297519,130.0738306,2.262898881
-5.820243404,-3.556800296,1.546900068,7.321896205,8.51796234,16.20212552,1.149225158,0.566985151,11.96596912,25.86592098,-94.70616832,120.1817787,2.263443108
-6.028682623,-3.759525124,1.513000066,5.596750673,4.222354515,15.67825072,1.137062863,0.712090957,16.39994771,26.26878176,-99.74381057,127.420095,2.269157499
-6.206372975,-3.934222223,1.639800072,17.54155195,17.39297705,28.6857937,1.292341914,0.701135653,14.59962439,28.58428997,-103.5038445,128.5433361,2.272150752
-5.93126586,-3.658842995,1.509400066,14.18838418,16.48055604,24.00086048,1.149777525,0.610918751,12.98127868,25.69900359,-97.29778049,121.6162643,2.272422865
-6.209910455,-3.93258954,1.646400072,8.388026135,7.590146696,20.08345931,1.303110531,0.649697153,15.39091324,30.76927631,-102.282712,131.2748828,2.277320915
-6.398757476,-4.121436561,1.523900067,8.829546561,11.29430762,18.61170725,1.080876051,0.653738044,15.76930117,26.36667316,-107.4960568,132.5694339,2.277320915
-5.494795225,-3.216385854,1.744400076,13.60907382,12.47703069,21.52275774,1.398819772,0.639681758,15.18885535,33.04838899,-86.76817947,115.3336442,2.278409371
-6.098343772,-3.816941149,1.689500074,17.6391571,18.35122634,30.08319657,1.340133114,0.696706456,15.96006391,31.2637534,-99.30392676,126.8860849,2.281402623
-6.115214831,-3.833812208,1.658400073,16.05166106,10.57984782,28.04317115,1.037874136,0.678371151,15.34698761,24.40821757,-101.0138888,128.98824,2.281402623
-6.596040026,-4.314365289,1.656900072,10.76573872,12.88668034,21.32567257,1.064767233,0.535219668,13.06473738,25.94310459,-111.242913,134.6515087,2.281674737
-6.290184045,-4.00796508,1.469100064,3.278582043,2.662454272,16.98914887,1.001467068,0.825761353,19.13525945,23.81333904,-105.9034389,133.9135581,2.282218965
-6.083377509,-3.797621064,1.724700075,7.090554071,6.332733361,16.80609423,1.369704367,0.673144661,16.25373812,32.78295269,-100.5238043,130.8469217,2.285756445
-5.969633915,-3.682789015,1.767800077,17.05479029,17.13844559,28.17017408,1.436692185,0.679579609,15.3601653,33.48513526,-96.98088844,127.4483329,2.2868449
-6.142154103,-3.853132292,1.588700069,10.76374703,11.69725251,19.10757381,1.244863103,0.643345744,14.03486629,28.64453083,-100.7936331,127.4991611,2.289021811
-5.833849097,-3.542922489,1.722600075,9.213663129,9.046082388,15.91024548,1.3581628,0.623607828,14.83494027,31.87306464,-94.07489426,123.8527063,2.290926608
-5.972627167,-3.680612104,1.59340007,5.090919361,8.576842058,17.2469894,1.004603837,0.476826754,11.20291818,23.63889154,-97.43394994,117.3065325,2.292015063
-6.435492847,-4.142933556,1.546400068,10.05700857,6.581599048,27.23614004,0.939221485,0.791673649,17.22072949,21.24180716,-108.1530587,134.6546463,2.292559291
-6.393587312,-4.100483793,1.573900069,13.81756764,15.49483436,22.82990939,1.165128184,0.584431188,14.37372115,28.08667533,-106.50522,133.6995776,2.293103519
-5.754119736,-3.460744103,1.683300074,14.62510953,14.75652987,23.34560141,1.183836136,0.596279297,13.1011329,28.31383359,-94.57376392,122.0818759,2.293375633
-6.189501916,-3.892316689,1.586500069,6.668516569,7.048128034,14.18108525,1.195588587,0.614345753,13.96333027,28.16636897,-102.5588159,130.0242574,2.297185227
-6.238482411,-3.940480842,1.661600073,16.74867963,16.39056139,27.16416273,1.313170599,0.715666805,17.09836523,31.21857275,-102.6723951,132.4037715,2.298001569
-5.962558954,-3.661564133,1.476100065,15.83101652,16.61871202,25.01052224,1.06490143,0.622978021,14.58770172,25.47121782,-98.77430916,122.7351128,2.300994821
-6.463520575,-4.161165185,1.574500069,15.81888835,16.31224223,0.445981502,1.237147269,0.723924209,16.75009774,28.97397306,-108.7347595,139.9752951,2.30235539
-5.959021474,-3.655305514,1.583900069,5.35378529,5.967689215,13.30003415,1.1870482,0.599890792,13.73428948,27.83880928,-96.97963342,124.7174138,2.30371596
-5.899700652,-3.589726074,1.780100078,15.90094931,14.4473544,27.06291597,1.418860994,0.697849606,15.56410573,33.1669882,-95.50561478,125.2520514,2.309974578
-6.135895485,-3.825648792,1.697700074,11.30383087,10.94669683,22.09774346,1.388701176,0.764963225,17.95554253,32.57838475,-99.16210972,132.3742786,2.310246693
-6.154399227,-3.842791966,1.577000069,10.00140843,11.33765778,16.52368672,1.232395816,0.590786135,13.55795945,29.0185262,-99.68733476,128.5150982,2.311607261
-6.18487598,-3.872996604,1.579700069,4.574306997,7.359252604,17.13473228,1.047696153,0.538724222,12.61732346,24.59584276,-101.6501829,124.4858629,2.311879376
-6.168277034,-3.854764976,1.735200076,15.60716486,14.2562221,27.79246473,1.410420269,0.796325708,13.10929052,28.41172499,-104.0547974,129.2260659,2.313512058
-5.951946514,-3.638434455,1.59590007,8.864183612,8.684423255,14.47424587,1.211778359,0.607291473,13.7217393,28.42051012,-96.86417177,123.8683941,2.313512059
-6.221067124,-3.907282951,1.59700007,6.649287472,6.978057808,14.25276055,1.212724852,0.644940875,14.6071545,28.51902903,-102.8612753,130.6367061,2.313784173
-6.028410509,-3.714354223,1.717800075,9.04539029,5.005061074,22.84579262,0.99415722,0.668715735,14.58832923,22.64554479,-98.92993139,125.4541093,2.314056286
-6.372634545,-4.058306145,1.653000072,13.60961263,12.4988224,23.28413928,1.277021867,0.650271667,14.69939833,29.48162784,-105.3637812,135.6868986,2.3143284
-6.400118045,-4.084701189,1.654500072,10.70227718,13.52480008,24.07260013,1.073056201,0.649614975,15.21207318,25.47874793,-107.1559469,131.8402684,2.315416856
-5.420780254,-3.104819171,1.758600077,13.73320848,13.21370561,21.78133461,1.425434823,0.676036415,15.42856378,33.22848408,-83.73605598,114.4739568,2.315961083
-6.089636128,-3.772586589,1.614300071,5.481162729,6.087132954,13.28355372,1.249007532,0.680454455,15.85401488,29.49606054,-100.1579665,128.9800824,2.317049539
-6.360661535,-4.041979313,1.628300071,9.66564305,8.429391234,18.70980823,1.128697187,0.731812953,17.24457483,27.35060727,-105.5244235,133.1090916,2.318682222
-6.531549041,-4.210689908,1.638600072,8.637372483,9.115987302,18.14904067,1.256324564,0.766683801,17.76226975,29.15030309,-110.1730101,138.7001968,2.320859133
-6.113582148,-3.790546104,1.644800072,11.34807699,6.341185634,22.84316489,1.036575263,0.691862013,15.66576219,24.06434264,-100.5256868,128.7347264,2.323036044
-6.284741767,-3.961161496,1.721800075,12.28053661,11.50878,23.92227489,1.378146402,0.69873833,16.65973644,32.70451406,-102.7426761,133.070186,2.323580271
-6.086098648,-3.762518376,1.699600074,10.77172737,7.698442203,22.89338896,1.064441286,0.665942623,15.18383527,24.67114384,-99.99481417,128.3933615,2.323580272
-6.077935232,-3.752994391,1.674500073,12.21540987,12.0768546,22.70806087,1.348715374,0.721030714,15.08908141,29.74706415,-99.69423736,125.5250178,2.324940841
-6.169637604,-3.840615055,1.620600071,19.25871819,18.17705309,28.3634865,1.271878067,0.692478405,15.21709325,29.19924879,-103.4448587,129.7443883,2.329022549
-6.149229064,-3.818301718,1.585500069,2.364986598,3.219242914,14.22303064,1.234838482,0.812296071,19.18232262,29.19611124,-100.1221985,129.7763913,2.330927346
-5.984055949,-3.65285649,1.614000071,0.671715014,4.334159838,12.2027006,1.028008105,0.478928561,10.94124692,24.2149448,-97.76841224,117.2877072,2.331199459
-5.454522373,-3.123322913,1.810600079,13.21648365,12.62909199,21.31420326,1.478613112,0.698815093,16.98353108,35.29487121,-83.47375722,114.7657485,2.33119946
-6.100248569,-3.768232767,1.697000074,13.05178379,13.84633304,25.12455262,1.324790647,0.702602619,15.95755387,30.6713849,-99.06735587,125.8801879,2.332015802
-6.110044668,-3.776668297,1.680800073,12.93376652,12.12538809,21.20482611,1.304270444,0.645023979,14.93220416,30.45175675,-99.71369014,129.8109043,2.333376371
-6.007185628,-3.670271777,1.61120007,0.681457453,2.114605538,8.903232715,1.231935796,0.638222928,14.52934339,28.91875226,-97.89893411,125.7785315,2.336913851
-6.511956843,-4.173138195,1.469600064,6.436146882,6.03724069,20.88446319,0.94162652,0.857847659,19.34547496,22.10023947,-109.0510241,137.9942492,2.338818648
-6.401206501,-4.059666714,1.616600071,9.912869548,11.72051716,18.51426455,1.209181529,0.602488119,14.88012092,29.27392236,-105.5143833,134.0170971,2.341539787
-5.973171395,-3.631087381,1.766300077,11.11294399,10.8567583,19.27143104,1.388560934,0.635868055,14.24382679,32.52755652,-96.45001583,124.314553,2.342084014
